[01:48.52] <01:48.52>ведёт
[01:52.85] <01:52.85>You
[01:53.41] <01:53.41>buried
[01:53.97] <01:53.97>yourself
[01:54.53] <01:54.53>in
[01:55.09] <01:55.09>champagne
[01:56.69] <01:56.69>You
[01:57.12] <01:57.12>served
[01:57.55] <01:57.55>every
[01:57.99] <01:57.99>kiss
[01:58.42] <01:58.42>in
[01:58.85] <01:58.85>chains
[02:00.56] <02:00.56>Your
[02:00.93] <02:00.93>skin
[02:01.31] <02:01.31>so
[02:01.68] <02:01.68>pale,
[02:02.06] <02:02.06>are
[02:02.43] <02:02.43>you
[02:02.81] <02:02.81>a
[02:03.18] <02:03.18>vampire?
[02:04.64] <02:04.64>If
[02:04.96] <02:04.96>so,
[02:05.29] <02:05.29>just
[02:05.62] <02:05.62>bite
[02:05.95] <02:05.95>me
[02:06.28] <02:06.28>right
[02:06.61] <02:06.61>now
[02:08.50] <02:08.50>Ashes
[02:08.87] <02:08.87>turn
[02:09.24] <02:09.24>to
[02:09.61] <02:09.61>violet
[02:09.98] <02:09.98>in
[02:10.35] <02:10.35>the
[02:10.72] <02:10.72>dawn
[02:12.19] <02:12.19>Yeah,
[02:12.58] <02:12.58>every
[02:12.97] <02:12.97>night
[02:13.36] <02:13.36>we
[02:13.75] <02:13.75>die
[02:14.13] <02:14.13>then
[02:14.52] <02:14.52>carry
[02:14.91] <02:14.91>on
[02:16.58] <02:16.58>Silhouettes
[02:17.08] <02:17.08>of
[02:17.58] <02:17.58>us
[02:18.08] <02:18.08>painted
[02:18.58] <02:18.58>over
[02:19.08] <02:19.08>cars
[02:20.43] <02:20.43>Tell
[02:20.81] <02:20.81>them
[02:21.20] <02:21.20>how
[02:21.59] <02:21.59>we
[02:21.97] <02:21.97>went
[02:22.36] <02:22.36>beyond
[02:22.75] <02:22.75>the
[02:23.14] <02:23.14>stars
[02:24.03] <02:24.03>Вот
[02:24.40] <02:24.40>бы
[02:24.77] <02:24.77>наша
[02:25.14] <02:25.14>тема
[02:25.51] <02:25.51>would
[02:25.88] <02:25.88>never
[02:26.25] <02:26.25>end
[02:28.29] <02:28.29>Вот
[02:28.66] <02:28.66>бы
[02:29.03] <02:29.03>наша
[02:29.40] <02:29.40>тема
[02:29.77] <02:29.77>would
[02:30.14] <02:30.14>never
[02:30.51] <02:30.51>end
[02:32.01] <02:32.01>Вот
[02:32.38] <02:32.38>бы
[02:32.75] <02:32.75>наша
[02:33.12] <02:33.12>тема
[02:33.49] <02:33.49>would
[02:33.86] <02:33.86>never
[02:34.23] <02:34.23>end
[02:36.05] <02:36.05>Never
[02:36.44] <02:36.44>end
